2024-01-31 09:34:32,472 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 09:34:32,472 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 09:34:32,474 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 09:34:32,474 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 09:34:32,475 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 09:36:42,886 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 09:36:42,886 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 09:36:42,892 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 09:36:42,894 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 09:36:42,900 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 09:36:42,991 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 09:36:42,991 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 09:36:42,993 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:C2:8A:89:98:08
2024-01-31 09:46:16,422 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 09:46:16,426 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-01-31 09:46:16,427 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-01-31 09:46:20,050 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 09:46:20,058 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 09:46:20,067 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 09:46:20,079 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 09:46:20,081 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 09:46:20,106 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 09:46:20,106 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 09:46:20,110 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:C2:8A:89:98:08
2024-01-31 09:46:23,424 | MainThread   | [INFO    ] | _connect            |: Connected to C0:C2:8A:89:98:08
2024-01-31 09:46:24,787 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 09:46:24,796 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 09:46:24,797 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-01-31 09:46:24,798 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-01-31 09:46:24,859 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-01-31 09:46:24,865 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-01-31 09:49:20,023 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 09:49:20,024 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 09:49:20,030 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 09:49:20,031 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 09:49:20,038 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 09:49:20,063 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 09:49:20,063 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 09:49:20,064 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:C2:8A:89:98:08
2024-01-31 09:49:23,694 | MainThread   | [INFO    ] | _connect            |: Connected to C0:C2:8A:89:98:08
2024-01-31 09:49:25,029 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 09:49:25,039 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 09:49:25,040 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-01-31 09:49:25,040 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-01-31 09:49:25,093 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-01-31 09:49:25,098 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-01-31 09:53:34,721 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 09:53:34,722 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 09:53:34,733 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 09:53:34,736 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 09:53:34,738 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 09:53:34,786 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 09:53:34,786 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 09:53:34,792 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:6:4B
2024-01-31 09:53:37,974 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:6:4B
2024-01-31 09:53:39,311 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 09:53:39,320 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 09:53:39,321 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-01-31 09:53:39,321 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-01-31 09:53:39,379 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-01-31 09:53:39,383 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-01-31 09:58:13,831 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 09:58:13,835 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 09:58:13,836 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 09:58:13,837 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 09:58:13,842 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 09:58:13,892 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 09:58:13,892 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 09:58:13,894 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-01-31 09:58:17,003 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-01-31 09:58:18,337 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-01-31 10:05:24,972 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 10:05:24,995 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-01-31 10:05:24,996 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-01-31 10:05:25,061 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-01-31 10:05:25,069 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-01-31 10:05:28,417 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 10:05:28,417 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 10:05:28,426 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 10:05:28,426 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 10:05:28,427 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 10:05:28,450 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 10:05:28,450 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 10:05:28,451 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-01-31 10:06:19,512 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-01-31 10:06:19,515 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-01-31 10:06:19,516 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-01-31 10:06:23,018 | MainThread   | [DEBUG   ] | <module>            |: debug
2024-01-31 10:06:23,018 | MainThread   | [INFO    ] | <module>            |: info
2024-01-31 10:06:23,027 | MainThread   | [WARNING ] | <module>            |: warning
2024-01-31 10:06:23,032 | MainThread   | [ERROR   ] | <module>            |: error
2024-01-31 10:06:23,041 | MainThread   | [CRITICAL] | <module>            |: critical
2024-01-31 10:06:23,081 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-01-31 10:06:23,081 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-01-31 10:06:23,091 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-01-31 10:06:26,103 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
