timestamp_ms,distance,left_pwm,right_pwm
2,1757,213,147
17,1761,213,147
28,1761,213,147
44,1788,213,147
61,1772,213,147
72,1772,213,147
88,1772,213,147
99,1773,213,147
110,1765,213,147
126,1765,213,147
143,1751,213,147
154,1749,213,147
166,1740,213,147
177,1740,213,147
190,1729,213,147
204,1710,213,147
220,1710,213,147
237,1713,213,147
248,1707,213,147
258,1693,213,147
269,1693,213,147
286,1686,213,147
302,1664,213,147
313,1651,213,147
324,1651,213,147
340,1644,213,147
351,1627,213,147
362,1627,213,147
379,1609,213,147
390,1595,213,147
406,1575,213,147
422,1575,213,147
439,1562,213,147
450,1547,213,147
462,1527,213,147
473,1527,213,147
483,1506,213,147
500,1487,213,147
511,1487,213,147
522,1463,213,147
534,1463,213,147
545,1439,213,147
556,1420,213,147
566,1420,213,147
577,1395,213,147
588,1395,213,147
605,1372,213,147
616,1372,213,147
632,1372,213,147
643,1318,213,147
659,1318,213,147
670,1318,213,147
687,1265,213,147
703,1265,213,147
714,1213,213,147
727,1213,213,147
738,1213,213,147
749,1155,213,147
759,1155,213,147
770,1155,213,147
781,1155,213,147
792,1094,213,147
803,1094,213,147
814,1094,213,147
830,1033,213,147
847,1033,213,147
863,969,213,147
874,969,213,147
885,969,213,147
896,912,213,147
907,912,213,147
918,912,213,147
929,912,213,147
940,838,213,147
956,838,213,147
973,771,213,147
984,771,213,147
998,771,213,147
1011,702,213,147
1027,702,213,147
1044,631,213,147
1055,631,213,147
1066,631,213,147
1078,631,213,147
1088,558,213,147
1100,558,213,147
1110,558,213,147
1121,489,213,147
1132,489,213,147
1149,489,213,147
1160,418,213,147
1171,418,213,147
1187,418,213,147
1203,336,0,0
1209,336,0,0
1213,336,0,0
1221,336,0,0
1226,336,0,0
1230,250,0,0
1234,250,0,0
1243,250,0,0
1247,250,0,0
1252,250,0,0
1256,250,0,0
1260,250,0,0
1269,169,0,0
1274,169,0,0
1278,169,0,0
1282,169,0,0
1289,169,0,0
1293,169,0,0
1301,169,0,0
1305,81,0,0
1309,81,0,0
1313,81,0,0
1317,81,0,0
1321,81,0,0
1324,81,0,0
1328,81,0,0
1332,81,0,0
1336,81,0,0
1340,81,0,0
1344,2,0,0
1348,2,0,0
1351,2,0,0
1355,2,0,0
1359,2,0,0
1363,2,0,0
1367,2,0,0
1371,2,0,0
1375,2,0,0
1379,23,0,0
1383,23,0,0
1386,23,0,0
1390,23,0,0
1394,23,0,0
1398,23,0,0
1402,23,0,0
1406,23,0,0
1410,23,0,0
1418,32,0,0
1422,32,0,0
1427,32,0,0
1434,32,0,0
1438,32,0,0
1444,32,0,0
1448,32,0,0
1452,61,0,0
1457,61,0,0
1466,61,0,0
1470,61,0,0
1475,61,0,0
1482,61,0,0
1485,61,0,0
1491,103,0,0
1499,103,0,0
1503,103,0,0
1509,103,0,0
1518,103,0,0
1522,103,0,0
1528,109,0,0
1536,109,0,0
1540,109,0,0
1546,109,0,0
1554,109,0,0
1558,109,0,0
1564,124,0,0
1572,124,0,0
1576,124,0,0
1580,124,0,0
1586,124,0,0
