timestamp_ms,distance,left_pwm,right_pwm
2,1757,213,147
17,1761,213,147
28,1772,213,147
44,1788,213,147
61,1772,213,147
72,1772,213,147
88,1773,213,147
99,1773,213,147
110,1765,213,147
126,1758,213,147
143,1751,213,147
154,1749,213,147
166,1740,213,147
177,1735,213,147
190,1729,213,147
204,1710,213,147
220,1711,213,147
237,1713,213,147
248,1707,213,147
258,1693,213,147
269,1690,213,147
286,1686,213,147
302,1664,213,147
313,1651,213,147
324,1648,213,147
340,1644,213,147
351,1627,213,147
362,1620,213,147
379,1609,213,147
390,1595,213,147
406,1575,213,147
422,1569,213,147
439,1562,213,147
450,1547,213,147
462,1527,213,147
473,1516,213,147
483,1506,213,147
500,1487,213,147
511,1475,213,147
522,1463,213,147
534,1450,213,147
545,1439,213,147
556,1420,213,147
566,1408,213,147
577,1395,213,147
588,1386,213,147
605,1372,213,147
616,1356,213,147
632,1334,213,147
643,1318,213,147
659,1299,213,147
670,1285,213,147
687,1265,213,147
703,1234,213,147
714,1213,213,147
727,1191,213,147
738,1173,213,147
749,1155,213,147
759,1141,213,147
770,1125,213,147
781,1110,213,147
792,1094,213,147
803,1076,213,147
814,1059,213,147
830,1033,213,147
847,1000,213,147
863,969,213,147
874,950,213,147
885,931,213,147
896,912,213,147
907,894,213,147
918,875,213,147
929,856,213,147
940,838,213,147
956,806,213,147
973,771,213,147
984,751,213,147
998,726,213,147
1011,702,213,147
1027,668,213,147
1044,631,213,147
1055,613,213,147
1066,594,213,147
1078,575,213,147
1088,558,213,147
1100,533,213,147
1110,512,213,147
1121,489,213,147
1132,469,213,147
1149,438,213,147
1160,418,213,147
1171,397,213,147
1187,367,213,147
1203,336,0,0
1209,317,0,0
1213,304,0,0
1221,279,0,0
1226,263,0,0
1230,250,0,0
1234,242,0,0
1243,223,0,0
1247,215,0,0
1252,204,0,0
1256,196,0,0
1260,188,0,0
1269,169,0,0
1274,157,0,0
1278,147,0,0
1282,137,0,0
1289,120,0,0
1293,110,0,0
1301,91,0,0
1305,81,0,0
1309,73,0,0
1313,65,0,0
1317,57,0,0
1321,49,0,0
1324,43,0,0
1328,34,0,0
1332,26,0,0
1336,18,0,0
1340,10,0,0
1344,2,0,0
1348,4,0,0
1351,6,0,0
1355,9,0,0
1359,11,0,0
1363,13,0,0
1367,16,0,0
1371,18,0,0
1375,21,0,0
1379,23,0,0
1383,24,0,0
1386,25,0,0
1390,26,0,0
1394,26,0,0
1398,27,0,0
1402,28,0,0
1406,29,0,0
1410,30,0,0
1418,32,0,0
1422,35,0,0
1427,40,0,0
1434,46,0,0
1438,49,0,0
1444,54,0,0
1448,58,0,0
1452,61,0,0
1457,66,0,0
1466,76,0,0
1470,80,0,0
1475,86,0,0
1482,93,0,0
1485,97,0,0
1491,103,0,0
1499,104,0,0
1503,105,0,0
1509,106,0,0
1518,107,0,0
1522,108,0,0
1528,109,0,0
1536,112,0,0
1540,114,0,0
1546,116,0,0
1554,120,0,0
1558,122,0,0
1564,124,0,0
1572,127,0,0
1576,128,0,0
1580,130,0,0
1586,132,0,0
